epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
67,136.469,0.50569,0.65878,0.38689,0.831,0,0.99198,1,0.995,0.91598,0.99198,1,0.995,0.84472,0.38747,0.58429,0.2964,0.70639,0,0.00266532,0.00266532,0.00266532
68,138.183,0.49406,0.6464,0.37638,0.83015,0,0.99303,1,0.995,0.91579,0.99303,1,0.995,0.84827,0.37604,0.54658,0.31117,0.7061,0,0.00253024,0.00253024,0.00253024
69,139.84,0.48535,0.64272,0.35761,0.83186,0,0.99354,1,0.995,0.92655,0.99354,1,0.995,0.83536,0.41512,0.61799,0.30314,0.71445,0,0.00239766,0.00239766,0.00239766
70,141.484,0.45916,0.62573,0.35249,0.82305,0,0.99462,1,0.995,0.93556,0.99462,1,0.995,0.84269,0.36649,0.56685,0.27334,0.70641,0,0.00226769,0.00226769,0.00226769
71,143.152,0.47072,0.65834,0.36314,0.82658,0,0.99386,1,0.995,0.91414,0.99386,1,0.995,0.8386,0.37419,0.57204,0.29084,0.70607,0,0.00214046,0.00214046,0.00214046
72,144.805,0.48812,0.63643,0.37969,0.81922,0,0.99548,1,0.995,0.91467,0.99548,1,0.995,0.83828,0.3794,0.51882,0.25111,0.70608,0,0.00201611,0.00201611,0.00201611
73,146.446,0.4757,0.62136,0.36311,0.82801,0,0.99309,1,0.995,0.9218,0.99309,1,0.995,0.83692,0.35499,0.51669,0.25174,0.70143,0,0.00189475,0.00189475,0.00189475
74,148.1,0.45586,0.60485,0.33962,0.82189,0,0.99288,1,0.995,0.92381,0.99288,1,0.995,0.83907,0.3308,0.49635,0.25822,0.69943,0,0.00177651,0.00177651,0.00177651
75,150.22,0.45459,0.60641,0.35006,0.81864,0,0.99324,1,0.995,0.91098,0.99324,1,0.995,0.84852,0.36536,0.56553,0.24958,0.70253,0,0.00166149,0.00166149,0.00166149
76,152.777,0.4518,0.62659,0.34841,0.82663,0,0.99216,0.99763,0.995,0.9265,0.99216,0.99763,0.995,0.84852,0.30008,0.50138,0.23975,0.70173,0,0.00154982,0.00154982,0.00154982
77,155.27,0.43628,0.59233,0.32956,0.82202,0,0.99476,1,0.995,0.93199,0.99476,1,0.995,0.84605,0.36051,0.55865,0.25262,0.70515,0,0.00144161,0.00144161,0.00144161
78,157.284,0.44613,0.63705,0.33269,0.82686,0,0.99492,1,0.995,0.92963,0.99492,1,0.995,0.85426,0.32797,0.53757,0.27511,0.70226,0,0.00133695,0.00133695,0.00133695
79,158.951,0.44148,0.56676,0.34119,0.81682,0,0.99329,1,0.995,0.91345,0.99329,1,0.995,0.84843,0.40503,0.55231,0.24696,0.70992,0,0.00123596,0.00123596,0.00123596
80,161.484,0.45272,0.61762,0.34698,0.82792,0,0.99279,1,0.995,0.9296,0.99279,1,0.995,0.85287,0.37226,0.51139,0.24335,0.70818,0,0.00113873,0.00113873,0.00113873
81,163.754,0.43021,0.57097,0.34163,0.82481,0,0.99398,1,0.995,0.92769,0.99398,1,0.995,0.84258,0.39009,0.5205,0.23629,0.71001,0,0.00104537,0.00104537,0.00104537
