epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,61.664,1.38374,0.70122,1.23712,0.94582,0.9874,0.98757,0.53219,1.50977,0.65992,1.35052,0.00458416,0.00458416,0.00458416
55,62.7185,1.34901,0.69704,1.2093,0.96862,0.95383,0.96312,0.51471,1.55298,0.67218,1.35407,0.0044296,0.0044296,0.0044296
56,63.7563,1.36131,0.68119,1.19606,0.96172,0.98508,0.99219,0.54905,1.52262,0.64174,1.33128,0.00427565,0.00427565,0.00427565
57,64.7998,1.34757,0.71004,1.20642,0.96463,0.96877,0.99235,0.54899,1.52207,0.66099,1.29764,0.00412246,0.00412246,0.00412246
58,65.8395,1.3583,0.68905,1.21584,0.96391,0.9842,0.99216,0.55704,1.48322,0.63916,1.3327,0.00397019,0.00397019,0.00397019
59,67.0092,1.37836,0.68871,1.23804,0.94709,0.97262,0.97438,0.54017,1.4988,0.63976,1.31052,0.00381899,0.00381899,0.00381899
60,68.0531,1.36586,0.7056,1.21316,0.95288,0.9902,0.99147,0.54634,1.48566,0.63022,1.29224,0.00366899,0.00366899,0.00366899
61,69.1757,1.3583,0.69004,1.21614,0.96708,0.99722,0.9928,0.54968,1.55769,0.64334,1.34033,0.00352037,0.00352037,0.00352037
62,70.2439,1.3559,0.703,1.2329,0.95934,0.90669,0.96054,0.51121,1.53762,0.70049,1.37919,0.00337325,0.00337325,0.00337325
63,71.3161,1.35552,0.68783,1.22063,0.95863,0.98093,0.99201,0.55873,1.4768,0.63978,1.328,0.00322778,0.00322778,0.00322778
64,72.4051,1.37218,0.67632,1.22179,0.97508,0.96181,0.96481,0.55395,1.45698,0.63797,1.28049,0.00308412,0.00308412,0.00308412
65,73.4679,1.35036,0.67129,1.21791,0.95994,0.98426,0.99337,0.54957,1.43358,0.64426,1.29211,0.00294239,0.00294239,0.00294239
66,74.5514,1.31117,0.6585,1.19325,0.95864,0.96187,0.98056,0.51254,1.55893,0.66384,1.33466,0.00280275,0.00280275,0.00280275
